claim_nbr,order_nbr,contract,license,name,addr,city,state,gpo,invoice_date,invoice_nbr,part,ship_qty,uom,sale,rebate
,2310564648,R705T2,LCAC,UNIV CINCINNATI-WESTCHESTER (LUM),7700 UNIVERSITY DR,WEST CHESTER,OH,MEDASSETS,03/07/2024,2310564648,974,0.2,CS,43.14,0.0
,2310583368,R705T1,S779,HUNTERDON MEDICAL CENTER,2100 WESCOTT DR,FLEMINGTON,NJ,MEDASSETS,03/06/2024,2310583368,946,1.0,CS,160.5,0.0
,2310453546,R705T2,KPN9,GRADY HEALTH SYSTEM LUM CARTS,80 JESSE HILL JR DR SE,ATLANTA,GA,MEDASSETS,03/07/2024,2310453546,648,1.0,CS,152.0,0.0
,2310590362,R705T1,JC6V,WESTCHESTER COUNTY MEDICAL CTR,100 WOODS RD,VALHALLA,NY,MEDASSETS,03/07/2024,2310590362,974,0.2,CS,44.0,0.0
,2310622017,R705T2,RBBA,PROMEDICA TOLEDO HOSPITAL,2142 N COVE BLVD,TOLEDO,OH,MEDASSETS,03/07/2024,2310622017,956,2.0,CS,309.8,0.0
,2310624187,R705T1,HFNW,CHILDRENS NATIONAL HOSPITAL(LUM),111 MICHIGAN AVE NW,WASHINGTON,DC,MEDASSETS,03/07/2024,2310624187,648,0.3,CS,46.5,0.0
,2310519283,R705T1,UQIF,COURSEY ENTERPRISES INC,1259 S LYNN LN,IDABEL,OK,MEDASSETS,03/08/2024,2310519283,648,3.0,CS,465.12,0.0
,2310525436,R705T1,ECHZ,WILSON MEMORIAL HOSPITAL (LUM),33-57 HARRISON ST,JOHNSON CITY,NY,MEDASSETS,03/07/2024,2310525436,648,0.5,CS,77.5,0.0
,2310450120,R705T1,R152,UNIVERSITY OF ROCHESTER/STRONG (BUL,601 ELMWOOD AVE,ROCHESTER,NY,MEDASSETS,03/06/2024,2310450120,656,1.0,CS,139.89,0.0
,2310509577,R705T1,ECFX,UNIVERSITY OF ROCHESTER/STRONG (LUM,601 ELMWOOD AVE,ROCHESTER,NY,MEDASSETS,03/07/2024,2310509577,648,0.2,CS,31.02,0.0
,2310624130,R705T1,HFNW,CHILDRENS NATIONAL HOSPITAL(LUM),111 MICHIGAN AVE NW,WASHINGTON,DC,MEDASSETS,03/07/2024,2310624130,645,0.8,CS,115.92,0.0
,2310701759,R705T1,BAIR,WESTCHESTER MEDICAL CENTER - LUM CA,100 WOODS RD,VALHALLA,NY,MEDASSETS,03/08/2024,2310701759,974,0.3,CS,66.0,0.0
,2310679364,R705T1,ECFX,UNIVERSITY OF ROCHESTER/STRONG (LUM,601 ELMWOOD AVE,ROCHESTER,NY,MEDASSETS,03/09/2024,2310679364,648,0.2,CS,31.02,0.0
,2310685810,R705T1,ECHZ,WILSON MEMORIAL HOSPITAL (LUM),33-57 HARRISON ST,JOHNSON CITY,NY,MEDASSETS,03/08/2024,2310685810,648,0.2,CS,31.02,0.0
,2310675611,R705T1,JKFF,NCH MD-HEALTHCARE SYSTEM,350 7TH ST N,NAPLES,FL,MEDASSETS,03/08/2024,2310675611,648,1.0,CS,155.04,0.0
,2310701759,R705T1,BAIR,WESTCHESTER MEDICAL CENTER - LUM CA,100 WOODS RD,VALHALLA,NY,MEDASSETS,03/08/2024,2310701759,946,0.2,CS,32.1,0.0
,2310705987,R705T2,KPN9,GRADY HEALTH SYSTEM LUM CARTS,80 JESSE HILL JR DR SE,ATLANTA,GA,MEDASSETS,03/08/2024,2310705987,646,0.1,CS,12.39,0.0
,2310720273,R705T1,HFNW,CHILDRENS NATIONAL HOSPITAL(LUM),111 MICHIGAN AVE NW,WASHINGTON,DC,MEDASSETS,03/08/2024,2310720273,648,0.5,CS,77.5,0.0
,2310703262,R705T2,LCAC,UNIV CINCINNATI-WESTCHESTER (LUM),7700 UNIVERSITY DR,WEST CHESTER,OH,MEDASSETS,03/08/2024,2310703262,974,0.2,CS,43.14,0.0
,2310713720,R705T2,KPN9,GRADY HEALTH SYSTEM LUM CARTS,80 JESSE HILL JR DR SE,ATLANTA,GA,MEDASSETS,03/10/2024,2310713720,648,0.6,CS,91.19999999999999,0.0
,2310710667,R705T2,KPN9,GRADY HEALTH SYSTEM LUM CARTS,80 JESSE HILL JR DR SE,ATLANTA,GA,MEDASSETS,03/09/2024,2310710667,648,0.2,CS,30.4,0.0
,2310707300,R705T1,XOEL,KECK HOSPITAL OF USC (BULK),1500 SAN PABLO ST,LOS ANGELES,CA,MEDASSETS,03/08/2024,2310707300,956,2.0,CS,316.0,0.0
,2310708800,R705T2,KPN9,GRADY HEALTH SYSTEM LUM CARTS,80 JESSE HILL JR DR SE,ATLANTA,GA,MEDASSETS,03/08/2024,2310708800,648,0.4,CS,60.8,0.0
,2310714648,R705T2,RBBA,PROMEDICA TOLEDO HOSPITAL (LUM),2142 N COVE BLVD,TOLEDO,OH,MEDASSETS,03/08/2024,2310714648,957,0.3,CS,37.71,0.0
,2310711924,R705T2,KPN9,GRADY HEALTH SYSTEM LUM CARTS,80 JESSE HILL JR DR SE,ATLANTA,GA,MEDASSETS,03/09/2024,2310711924,646,0.1,CS,12.39,0.0
,2310790579,R705T1,MLBP,PHOEBE PUTNEY MEMORIAL HOSPITAL,1008 N MONROE ST,ALBANY,GA,MEDASSETS,03/11/2024,2310790579,957,1.0,CS,128.21,0.0
